usage_id,customer_id,date,active_users,key_actions,logins,features_used
USG-29fdb9c2,CUST-eba557a0,2025-10-01,21,212,212,2
USG-2000dd45,CUST-eba557a0,2025-11-01,20,800,200,10
USG-d0a80e84,CUST-eba557a0,2025-12-01,16,336,168,5
USG-48d94395,CUST-eba557a0,2026-01-01,18,736,184,2
USG-c53ea83f,CUST-eba557a0,2026-02-01,18,184,184,10
USG-f9363af1,CUST-eba557a0,2026-03-01,17,350,175,6
USG-afbae7cd,CUST-eba557a0,2026-04-01,16,501,167,7
USG-dd75499f,CUST-79301a9c,2025-06-01,44,1341,447,3
USG-26059753,CUST-79301a9c,2025-07-01,54,2172,543,1
USG-ec4269d2,CUST-79301a9c,2025-08-01,40,1600,400,4
USG-352d9ae1,CUST-79301a9c,2025-09-01,47,944,472,7
USG-642ff058,CUST-79301a9c,2025-10-01,42,2100,420,10
USG-4e5f0a83,CUST-79301a9c,2025-11-01,52,1581,527,7
USG-edd90c3c,CUST-79301a9c,2025-12-01,54,1644,548,6
USG-e69c866c,CUST-79301a9c,2026-01-01,48,978,489,3
USG-89587ceb,CUST-79301a9c,2026-02-01,47,1884,471,7
USG-21729ad3,CUST-79301a9c,2026-03-01,1,2,2,5
USG-d6e58520,CUST-79301a9c,2026-04-01,1,4,4,1
USG-98749ae4,CUST-e40f8c05,2025-03-01,14,700,140,6
USG-a20f4487,CUST-e40f8c05,2025-04-01,9,192,96,6
USG-d9228341,CUST-e40f8c05,2025-05-01,11,224,112,5
USG-b7b9d815,CUST-e40f8c05,2025-06-01,13,399,133,9
USG-e3c7d6a8,CUST-e40f8c05,2025-07-01,11,230,115,3
USG-f70ca4d6,CUST-e40f8c05,2025-08-01,12,605,121,4
USG-f3935d40,CUST-e40f8c05,2025-09-01,12,369,123,8
USG-fdc47df4,CUST-e40f8c05,2025-10-01,13,264,132,2
USG-5e688511,CUST-e40f8c05,2025-11-01,10,324,108,5
USG-c2e0000a,CUST-e40f8c05,2025-12-01,11,114,114,6
USG-de819774,CUST-e40f8c05,2026-01-01,12,384,128,10
USG-b488a3ce,CUST-e40f8c05,2026-02-01,13,270,135,6
USG-a33dfe2f,CUST-e40f8c05,2026-03-01,10,300,100,10
USG-fbcfbf84,CUST-e40f8c05,2026-04-01,11,585,117,8
USG-bae15b60,CUST-fa4e3863,2025-11-01,35,702,351,2
USG-9603cbe8,CUST-fa4e3863,2025-12-01,26,265,265,5
USG-553e07f9,CUST-fa4e3863,2026-01-01,25,750,250,5
USG-e045d891,CUST-fa4e3863,2026-02-01,27,1116,279,7
USG-0c090e38,CUST-fa4e3863,2026-03-01,1,3,3,9
USG-687bf1b5,CUST-fa4e3863,2026-04-01,1,1,1,9
USG-4d7014d8,CUST-73ea0d9c,2025-03-01,39,399,399,1
USG-b22bfd8e,CUST-73ea0d9c,2025-04-01,35,1765,353,8
USG-d9e652fb,CUST-73ea0d9c,2025-05-01,49,499,499,5
USG-8439cbf5,CUST-73ea0d9c,2025-06-01,37,371,371,6
USG-3e56a411,CUST-73ea0d9c,2025-07-01,35,352,352,5
USG-61e3fb28,CUST-73ea0d9c,2025-08-01,37,1500,375,9
USG-12bc9c12,CUST-73ea0d9c,2025-09-01,40,406,406,1
USG-d95ff5a5,CUST-73ea0d9c,2025-10-01,41,2090,418,2
USG-fb5d8aab,CUST-73ea0d9c,2025-11-01,42,429,429,1
USG-a8ba94e9,CUST-73ea0d9c,2025-12-01,44,1760,440,9
USG-150714eb,CUST-73ea0d9c,2026-01-01,39,1170,390,3
USG-9bdc99f8,CUST-73ea0d9c,2026-02-01,39,1568,392,1
USG-941cd4a4,CUST-73ea0d9c,2026-03-01,1,15,3,1
USG-453b9518,CUST-73ea0d9c,2026-04-01,1,4,1,10
USG-e94736c7,CUST-1806e323,2025-04-01,30,304,304,6
USG-ccc86118,CUST-1806e323,2025-05-01,40,814,407,4
USG-516def64,CUST-1806e323,2025-06-01,27,278,278,1
USG-7b183b64,CUST-1806e323,2025-07-01,30,302,302,3
USG-aa5a3eb5,CUST-1806e323,2025-08-01,40,1636,409,6
USG-fbc59551,CUST-1806e323,2025-09-01,41,1233,411,1
USG-e482fcdd,CUST-1806e323,2025-10-01,37,740,370,3
USG-6e1d8217,CUST-1806e323,2025-11-01,31,316,316,2
USG-3b492c4e,CUST-1806e323,2025-12-01,31,632,316,1
USG-bfb48b6b,CUST-1806e323,2026-01-01,33,1328,332,1
USG-5151da46,CUST-1806e323,2026-02-01,29,291,291,5
USG-86907d33,CUST-1806e323,2026-03-01,1,10,2,10
USG-d5bbd5bc,CUST-1806e323,2026-04-01,1,1,1,2
USG-04fe2a74,CUST-63b8f253,2025-02-01,43,864,432,4
USG-67b155a6,CUST-63b8f253,2025-03-01,51,2560,512,3
USG-5e77267f,CUST-63b8f253,2025-04-01,38,766,383,5
USG-89c0bc07,CUST-63b8f253,2025-05-01,36,1098,366,4
USG-8d3891d8,CUST-63b8f253,2025-06-01,51,2580,516,3
USG-4ddaa25e,CUST-63b8f253,2025-07-01,39,786,393,1
USG-e9970156,CUST-63b8f253,2025-08-01,42,854,427,1
USG-9eea426b,CUST-63b8f253,2025-09-01,37,1885,377,1
USG-74cccd48,CUST-63b8f253,2025-10-01,51,513,513,4
USG-8694f492,CUST-63b8f253,2025-11-01,40,1218,406,4
USG-d0db7e55,CUST-63b8f253,2025-12-01,40,400,400,4
USG-3dda4bee,CUST-63b8f253,2026-01-01,40,802,401,6
USG-3dbc4419,CUST-63b8f253,2026-02-01,39,1568,392,2
USG-9320be1d,CUST-63b8f253,2026-03-01,50,1006,503,4
USG-5121636b,CUST-63b8f253,2026-04-01,49,1473,491,6
USG-a896ff5f,CUST-d7e61e1c,2025-05-01,49,1494,498,6
USG-de9b24aa,CUST-d7e61e1c,2025-06-01,37,1110,370,3
USG-538f30b7,CUST-d7e61e1c,2025-07-01,43,1308,436,5
USG-d25e5d65,CUST-d7e61e1c,2025-08-01,45,1820,455,1
USG-b8cabacd,CUST-d7e61e1c,2025-09-01,37,1895,379,9
USG-3d359ae0,CUST-d7e61e1c,2025-10-01,42,846,423,5
USG-a69a6600,CUST-d7e61e1c,2025-11-01,37,379,379,10
USG-734eaf2d,CUST-d7e61e1c,2025-12-01,51,1028,514,7
USG-cb9676e2,CUST-d7e61e1c,2026-01-01,47,1916,479,4
USG-487d21fa,CUST-d7e61e1c,2026-02-01,39,1985,397,9
USG-7e564850,CUST-d7e61e1c,2026-03-01,45,1377,459,3
USG-75ed669b,CUST-d7e61e1c,2026-04-01,45,914,457,6
USG-714eef60,CUST-dfd62d49,2024-08-01,24,246,246,6
USG-686a67c1,CUST-dfd62d49,2024-09-01,23,932,233,7
USG-3afacb19,CUST-dfd62d49,2024-10-01,20,615,205,10
USG-231a862c,CUST-dfd62d49,2024-11-01,24,741,247,8
USG-dacafd00,CUST-dfd62d49,2024-12-01,23,956,239,3
USG-5a18851b,CUST-dfd62d49,2025-01-01,20,410,205,9
USG-0b930ae8,CUST-dfd62d49,2025-02-01,17,712,178,7
USG-ff6e6191,CUST-dfd62d49,2025-03-01,19,597,199,8
USG-d4561dda,CUST-dfd62d49,2025-04-01,24,723,241,4
USG-e8e967bb,CUST-dfd62d49,2025-05-01,19,975,195,6
USG-8184f6a6,CUST-dfd62d49,2025-06-01,18,748,187,5
USG-1b9073eb,CUST-dfd62d49,2025-07-01,25,1012,253,7
USG-8fcea9d8,CUST-dfd62d49,2025-08-01,23,472,236,6
USG-202d1425,CUST-dfd62d49,2025-09-01,19,955,191,7
USG-02c3a6fc,CUST-dfd62d49,2025-10-01,18,920,184,9
USG-8b4a37ce,CUST-dfd62d49,2025-11-01,25,500,250,3
USG-1f93f993,CUST-dfd62d49,2025-12-01,19,792,198,8
USG-d1846a13,CUST-dfd62d49,2026-01-01,25,506,253,5
USG-610a7d14,CUST-dfd62d49,2026-02-01,18,728,182,2
USG-11dd83f9,CUST-dfd62d49,2026-03-01,1,4,1,7
USG-abf3ae06,CUST-dfd62d49,2026-04-01,1,5,1,4
USG-54e61de1,CUST-28991702,2025-01-01,15,477,159,7
USG-6a62312b,CUST-28991702,2025-02-01,17,890,178,7
USG-a7e55945,CUST-28991702,2025-03-01,15,785,157,1
USG-01dc3270,CUST-28991702,2025-04-01,16,168,168,7
USG-ee95d0d8,CUST-28991702,2025-05-01,19,382,191,5
USG-df012e08,CUST-28991702,2025-06-01,17,895,179,4
USG-189f19be,CUST-28991702,2025-07-01,18,915,183,2
USG-4fc1c634,CUST-28991702,2025-08-01,16,507,169,4
USG-5b6c96d6,CUST-28991702,2025-09-01,18,935,187,2
USG-6c9e6841,CUST-28991702,2025-10-01,14,735,147,4
USG-d9f75582,CUST-28991702,2025-11-01,18,188,188,1
USG-fef451f8,CUST-28991702,2025-12-01,15,628,157,4
USG-ccefd756,CUST-28991702,2026-01-01,17,692,173,1
USG-36765ee9,CUST-28991702,2026-02-01,17,346,173,1
USG-fafdc5ad,CUST-28991702,2026-03-01,20,618,206,9
USG-b2982034,CUST-28991702,2026-04-01,18,728,182,9
USG-2a6eae45,CUST-ca3166ac,2025-09-01,51,2555,511,3
USG-4176bf0d,CUST-ca3166ac,2025-10-01,45,1350,450,10
USG-f3b707fa,CUST-ca3166ac,2025-11-01,41,832,416,2
USG-f7bdc037,CUST-ca3166ac,2025-12-01,56,2248,562,4
USG-c1918825,CUST-ca3166ac,2026-01-01,48,1467,489,8
USG-22a6eeeb,CUST-ca3166ac,2026-02-01,45,1356,452,5
USG-c8239ab0,CUST-ca3166ac,2026-03-01,53,2675,535,3
USG-45367bee,CUST-ca3166ac,2026-04-01,45,1350,450,6
USG-128a49a1,CUST-65e7c245,2025-01-01,37,758,379,10
USG-efed8bba,CUST-65e7c245,2025-02-01,33,664,332,10
USG-fbff4e64,CUST-65e7c245,2025-03-01,45,2250,450,5
USG-d84725b0,CUST-65e7c245,2025-04-01,31,1264,316,10
USG-b202e95d,CUST-65e7c245,2025-05-01,35,356,356,2
USG-569d34c9,CUST-65e7c245,2025-06-01,34,1372,343,7
USG-964466ff,CUST-65e7c245,2025-07-01,42,2140,428,8
USG-df1325f6,CUST-65e7c245,2025-08-01,32,1316,329,8
USG-1fdf2f89,CUST-65e7c245,2025-09-01,47,471,471,7
USG-87b54b85,CUST-65e7c245,2025-10-01,42,2110,422,4
USG-2f77c81a,CUST-65e7c245,2025-11-01,34,698,349,10
USG-c43e0cc2,CUST-65e7c245,2025-12-01,33,332,332,7
USG-b1891736,CUST-65e7c245,2026-01-01,33,996,332,10
USG-f4a7802a,CUST-65e7c245,2026-02-01,31,1276,319,4
USG-5eaac1ea,CUST-65e7c245,2026-03-01,40,1212,404,10
USG-e31ab295,CUST-65e7c245,2026-04-01,32,320,320,4
USG-8deaa659,CUST-dece2f21,2025-08-01,11,333,111,4
USG-5be04640,CUST-dece2f21,2025-09-01,12,492,123,8
USG-87778818,CUST-dece2f21,2025-10-01,13,264,132,5
USG-2beeef8c,CUST-dece2f21,2025-11-01,12,126,126,5
USG-e9c83d98,CUST-dece2f21,2025-12-01,10,510,102,9
USG-5645a4dd,CUST-dece2f21,2026-01-01,13,417,139,2
USG-d3d8ed54,CUST-dece2f21,2026-02-01,13,136,136,7
USG-3932957a,CUST-dece2f21,2026-03-01,1,15,3,4
USG-4adbd5ca,CUST-dece2f21,2026-04-01,1,0,0,5
USG-105f169d,CUST-a14578f6,2024-07-01,48,483,483,7
USG-6b3f6794,CUST-a14578f6,2024-08-01,38,1143,381,10
USG-170142c1,CUST-a14578f6,2024-09-01,50,2520,504,2
USG-0889a393,CUST-a14578f6,2024-10-01,52,526,526,5
USG-750b3f70,CUST-a14578f6,2024-11-01,50,1008,504,1
USG-8cd0a7f7,CUST-a14578f6,2024-12-01,40,2040,408,7
USG-0e1b7159,CUST-a14578f6,2025-01-01,54,542,542,7
USG-9419d381,CUST-a14578f6,2025-02-01,55,554,554,2
USG-2b575cfb,CUST-a14578f6,2025-03-01,54,2730,546,1
USG-86dd13fb,CUST-a14578f6,2025-04-01,42,852,426,2
USG-e7426e14,CUST-a14578f6,2025-05-01,56,1122,561,5
USG-37a67729,CUST-a14578f6,2025-06-01,47,1425,475,5
USG-25c54ed4,CUST-a14578f6,2025-07-01,48,970,485,1
USG-62e2a093,CUST-a14578f6,2025-08-01,41,838,419,2
USG-84c2430c,CUST-a14578f6,2025-09-01,46,1840,460,10
USG-e0042185,CUST-a14578f6,2025-10-01,56,567,567,8
USG-42331a6c,CUST-a14578f6,2025-11-01,53,2695,539,2
USG-44f0fa9b,CUST-a14578f6,2025-12-01,41,2095,419,7
USG-838d4608,CUST-a14578f6,2026-01-01,39,1173,391,8
USG-264ee4e0,CUST-a14578f6,2026-02-01,39,398,398,8
USG-dc47c1d2,CUST-a14578f6,2026-03-01,40,804,402,2
USG-b053e1c0,CUST-a14578f6,2026-04-01,49,1470,490,1
USG-006203e0,CUST-acd02836,2024-10-01,7,288,72,1
USG-66fbebdd,CUST-acd02836,2024-11-01,6,340,68,9
USG-a1fb384c,CUST-acd02836,2024-12-01,8,88,88,5
USG-e620d08e,CUST-acd02836,2025-01-01,6,132,66,9
USG-d24ee1ef,CUST-acd02836,2025-02-01,7,231,77,6
USG-9e3df571,CUST-acd02836,2025-03-01,6,268,67,2
USG-6d2e8940,CUST-acd02836,2025-04-01,8,435,87,4
USG-8a3060ce,CUST-acd02836,2025-05-01,9,372,93,9
USG-801eec8d,CUST-acd02836,2025-06-01,7,296,74,5
USG-a1f324a3,CUST-acd02836,2025-07-01,9,180,90,10
USG-f04eda90,CUST-acd02836,2025-08-01,6,325,65,2
USG-f383cc36,CUST-acd02836,2025-09-01,6,256,64,5
USG-c1fd58df,CUST-acd02836,2025-10-01,8,82,82,7
USG-b774abcc,CUST-acd02836,2025-11-01,6,335,67,5
USG-dc5b6cb0,CUST-acd02836,2025-12-01,6,136,68,2
USG-278b20b2,CUST-acd02836,2026-01-01,7,74,74,2
USG-123a97ea,CUST-acd02836,2026-02-01,8,85,85,6
USG-a670a1e5,CUST-acd02836,2026-03-01,7,70,70,7
USG-313c91d8,CUST-acd02836,2026-04-01,8,328,82,3
USG-8d0cd313,CUST-a810eda2,2024-12-01,17,855,171,5
USG-eda95185,CUST-a810eda2,2025-01-01,23,702,234,3
USG-e1fea44d,CUST-a810eda2,2025-02-01,24,498,249,8
USG-2fdd66ec,CUST-a810eda2,2025-03-01,22,227,227,1
USG-564633b9,CUST-a810eda2,2025-04-01,17,531,177,5
USG-ff8441b4,CUST-a810eda2,2025-05-01,20,206,206,8
USG-dbe2615b,CUST-a810eda2,2025-06-01,21,1070,214,10
USG-9997bf0d,CUST-a810eda2,2025-07-01,18,945,189,6
USG-26a93a7e,CUST-a810eda2,2025-08-01,20,1005,201,5
USG-87fd4795,CUST-a810eda2,2025-09-01,20,1040,208,4
USG-fe6b6b3f,CUST-a810eda2,2025-10-01,24,248,248,6
USG-0393c055,CUST-a810eda2,2025-11-01,17,525,175,7
USG-245fa5dc,CUST-a810eda2,2025-12-01,20,812,203,4
USG-ca74809d,CUST-a810eda2,2026-01-01,19,980,196,5
USG-22e7613d,CUST-a810eda2,2026-02-01,24,480,240,8
USG-7f6c33d8,CUST-a810eda2,2026-03-01,1,5,5,8
USG-43508cad,CUST-a810eda2,2026-04-01,1,4,1,7
USG-08824420,CUST-268095d2,2024-06-01,8,258,86,7
USG-a05571ab,CUST-268095d2,2024-07-01,7,219,73,7
USG-8e55a585,CUST-268095d2,2024-08-01,8,356,89,1
USG-a84bf3ca,CUST-268095d2,2024-09-01,8,83,83,5
USG-3a22bb2c,CUST-268095d2,2024-10-01,8,267,89,2
USG-3221890b,CUST-268095d2,2024-11-01,8,88,88,7
USG-e078fc51,CUST-268095d2,2024-12-01,7,312,78,3
USG-ec5ecc52,CUST-268095d2,2025-01-01,7,350,70,8
USG-05d8244c,CUST-268095d2,2025-02-01,8,86,86,1
USG-cc29872e,CUST-268095d2,2025-03-01,6,248,62,7
USG-c49f4c5f,CUST-268095d2,2025-04-01,7,79,79,5
USG-1ed84575,CUST-268095d2,2025-05-01,9,93,93,8
USG-a4005e8a,CUST-268095d2,2025-06-01,6,132,66,1
USG-67d8ef07,CUST-268095d2,2025-07-01,7,154,77,4
USG-7334e036,CUST-268095d2,2025-08-01,7,78,78,2
USG-9e2bc67f,CUST-268095d2,2025-09-01,7,146,73,3
USG-eefb77d3,CUST-268095d2,2025-10-01,6,345,69,3
USG-5b6a7fb4,CUST-268095d2,2025-11-01,6,340,68,3
USG-d6d688f0,CUST-268095d2,2025-12-01,7,355,71,5
USG-b9a031f7,CUST-268095d2,2026-01-01,7,154,77,9
USG-f72cf70b,CUST-268095d2,2026-02-01,6,340,68,10
USG-1e90abb2,CUST-268095d2,2026-03-01,8,80,80,1
USG-40dd2963,CUST-268095d2,2026-04-01,7,70,70,9
USG-a11d205b,CUST-481fbc2e,2025-08-01,14,144,144,4
USG-c74ddd4f,CUST-481fbc2e,2025-09-01,13,139,139,2
USG-98925eed,CUST-481fbc2e,2025-10-01,17,516,172,1
USG-8ece0a14,CUST-481fbc2e,2025-11-01,16,498,166,4
USG-297a32d6,CUST-481fbc2e,2025-12-01,13,544,136,3
USG-9b292469,CUST-481fbc2e,2026-01-01,12,635,127,10
USG-7d845b04,CUST-481fbc2e,2026-02-01,12,125,125,7
USG-a19f822c,CUST-481fbc2e,2026-03-01,1,2,2,6
USG-8b5b493a,CUST-481fbc2e,2026-04-01,1,15,3,1
USG-6a6314bb,CUST-16061ccd,2024-06-01,34,1740,348,4
USG-62767af8,CUST-16061ccd,2024-07-01,25,1280,256,1
USG-0c2ff75f,CUST-16061ccd,2024-08-01,36,360,360,5
USG-b9a75803,CUST-16061ccd,2024-09-01,26,795,265,6
USG-e71e25b2,CUST-16061ccd,2024-10-01,28,283,283,10
USG-4bf6dd2f,CUST-16061ccd,2024-11-01,29,588,294,9
USG-bda09b3b,CUST-16061ccd,2024-12-01,34,348,348,5
USG-6a46e586,CUST-16061ccd,2025-01-01,28,1445,289,7
USG-8a707b57,CUST-16061ccd,2025-02-01,35,1059,353,3
USG-2bf0e9fd,CUST-16061ccd,2025-03-01,32,644,322,2
USG-dd8fb344,CUST-16061ccd,2025-04-01,33,1665,333,10
USG-8509f3dd,CUST-16061ccd,2025-05-01,28,1124,281,4
USG-bd5adff0,CUST-16061ccd,2025-06-01,34,1392,348,9
USG-bbd82c4d,CUST-16061ccd,2025-07-01,33,334,334,4
USG-7906aac0,CUST-16061ccd,2025-08-01,31,1555,311,2
USG-d0fab70d,CUST-16061ccd,2025-09-01,33,337,337,4
USG-0cdfb1bc,CUST-16061ccd,2025-10-01,35,1780,356,8
USG-f8dc1597,CUST-16061ccd,2025-11-01,28,568,284,7
USG-16982dd2,CUST-16061ccd,2025-12-01,32,328,328,6
USG-fb2e8fc6,CUST-16061ccd,2026-01-01,35,1775,355,6
USG-814e1810,CUST-16061ccd,2026-02-01,37,1492,373,6
USG-b7353a07,CUST-16061ccd,2026-03-01,32,981,327,1
USG-9cf1d00e,CUST-16061ccd,2026-04-01,32,963,321,3
USG-6c5f347e,CUST-04a3a1c8,2025-09-01,35,352,352,7
USG-7ef56473,CUST-04a3a1c8,2025-10-01,31,1264,316,10
USG-f82f0d94,CUST-04a3a1c8,2025-11-01,32,960,320,6
USG-55238ec2,CUST-04a3a1c8,2025-12-01,35,1755,351,10
USG-bc68aff1,CUST-04a3a1c8,2026-01-01,34,1360,340,1
USG-029627c8,CUST-04a3a1c8,2026-02-01,28,289,289,7
USG-35379437,CUST-04a3a1c8,2026-03-01,28,1132,283,4
USG-b2d2fffc,CUST-04a3a1c8,2026-04-01,27,813,271,6
USG-01fdedd8,CUST-53f77ad7,2025-06-01,27,274,274,7
USG-c5038d04,CUST-53f77ad7,2025-07-01,21,876,219,7
USG-d5eab6bf,CUST-53f77ad7,2025-08-01,19,396,198,7
USG-2dd59597,CUST-53f77ad7,2025-09-01,25,252,252,5
USG-773f0cb0,CUST-53f77ad7,2025-10-01,24,1225,245,1
USG-e08d574b,CUST-53f77ad7,2025-11-01,20,404,202,1
USG-9d9275c0,CUST-53f77ad7,2025-12-01,23,476,238,8
USG-01a59605,CUST-53f77ad7,2026-01-01,25,1290,258,10
USG-17b37293,CUST-53f77ad7,2026-02-01,20,1020,204,7
USG-5fd07edb,CUST-53f77ad7,2026-03-01,21,651,217,8
USG-714a60cf,CUST-53f77ad7,2026-04-01,26,1048,262,3
USG-1c118514,CUST-21eb2352,2025-12-01,19,196,196,9
USG-40ed2d71,CUST-21eb2352,2026-01-01,15,318,159,4
USG-0d95a33e,CUST-21eb2352,2026-02-01,19,576,192,3
USG-b8a48524,CUST-21eb2352,2026-03-01,15,770,154,1
USG-2b852276,CUST-21eb2352,2026-04-01,19,579,193,2
USG-917c75dc,CUST-e73b23fb,2025-06-01,26,786,262,2
USG-bffae5cf,CUST-e73b23fb,2025-07-01,26,789,263,4
USG-c0271aca,CUST-e73b23fb,2025-08-01,28,1136,284,10
USG-6fb0fb55,CUST-e73b23fb,2025-09-01,20,1020,204,6
USG-2c1b60c0,CUST-e73b23fb,2025-10-01,22,672,224,10
USG-9ce44793,CUST-e73b23fb,2025-11-01,28,1132,283,3
USG-758e8ed2,CUST-e73b23fb,2025-12-01,27,1370,274,7
USG-bc1f2e5d,CUST-e73b23fb,2026-01-01,19,585,195,3
USG-9b038fb8,CUST-e73b23fb,2026-02-01,22,229,229,4
USG-98159a79,CUST-e73b23fb,2026-03-01,1,2,1,3
USG-e6c9f152,CUST-e73b23fb,2026-04-01,1,12,4,10
USG-bd34785c,CUST-1838402b,2025-05-01,15,300,150,2
USG-11b6682c,CUST-1838402b,2025-06-01,14,735,147,3
USG-e835a4ff,CUST-1838402b,2025-07-01,16,320,160,1
USG-ea872d4d,CUST-1838402b,2025-08-01,14,288,144,10
USG-90f88f9c,CUST-1838402b,2025-09-01,15,308,154,10
USG-9f94deaa,CUST-1838402b,2025-10-01,16,660,165,3
USG-b02fee3b,CUST-1838402b,2025-11-01,13,399,133,3
USG-40205778,CUST-1838402b,2025-12-01,16,330,165,1
USG-062103f4,CUST-1838402b,2026-01-01,14,584,146,8
USG-86b9e12e,CUST-1838402b,2026-02-01,16,322,161,2
USG-c1462bba,CUST-1838402b,2026-03-01,15,300,150,10
USG-ca9a8c87,CUST-1838402b,2026-04-01,13,552,138,7
USG-0681ddc4,CUST-d41c492f,2024-08-01,28,281,281,7
USG-79966c06,CUST-d41c492f,2024-09-01,28,566,283,6
USG-83ae3b75,CUST-d41c492f,2024-10-01,35,702,351,2
USG-167c7ff9,CUST-d41c492f,2024-11-01,36,1810,362,3
USG-0f09dd74,CUST-d41c492f,2024-12-01,31,957,319,9
USG-6596c655,CUST-d41c492f,2025-01-01,35,1062,354,1
USG-199b23ae,CUST-d41c492f,2025-02-01,27,278,278,7
USG-d687f47d,CUST-d41c492f,2025-03-01,26,1335,267,1
USG-3c21d994,CUST-d41c492f,2025-04-01,26,536,268,4
USG-8d2e46f7,CUST-d41c492f,2025-05-01,28,1410,282,4
USG-6e53af29,CUST-d41c492f,2025-06-01,31,1268,317,2
USG-b8f45b78,CUST-d41c492f,2025-07-01,33,332,332,1
USG-fb76c92c,CUST-d41c492f,2025-08-01,33,674,337,10
USG-984c81e2,CUST-d41c492f,2025-09-01,33,1348,337,2
USG-9e83e30f,CUST-d41c492f,2025-10-01,30,606,303,6
USG-6501699b,CUST-d41c492f,2025-11-01,30,909,303,8
USG-9a15719a,CUST-d41c492f,2025-12-01,26,789,263,6
USG-731884ad,CUST-d41c492f,2026-01-01,37,1134,378,1
USG-0befd916,CUST-d41c492f,2026-02-01,34,1735,347,10
USG-22180a36,CUST-d41c492f,2026-03-01,35,716,358,4
USG-9c9c9f55,CUST-d41c492f,2026-04-01,25,765,255,4
USG-4194f708,CUST-22af1a1b,2025-08-01,8,86,86,7
USG-dca365ca,CUST-22af1a1b,2025-09-01,8,332,83,8
USG-11d28386,CUST-22af1a1b,2025-10-01,9,460,92,2
USG-e8bb0e36,CUST-22af1a1b,2025-11-01,7,288,72,5
USG-18f3fef7,CUST-22af1a1b,2025-12-01,7,231,77,4
USG-b25e921d,CUST-22af1a1b,2026-01-01,7,77,77,10
USG-49432b4b,CUST-22af1a1b,2026-02-01,7,216,72,4
USG-c9c8474c,CUST-22af1a1b,2026-03-01,8,84,84,2
USG-dcecf371,CUST-22af1a1b,2026-04-01,8,336,84,7
USG-11da3974,CUST-bef81749,2025-04-01,24,732,244,1
USG-c78cbb68,CUST-bef81749,2025-05-01,21,844,211,7
USG-57dfc85f,CUST-bef81749,2025-06-01,18,186,186,10
USG-0446c43b,CUST-bef81749,2025-07-01,19,194,194,6
USG-904a5317,CUST-bef81749,2025-08-01,22,222,222,7
USG-95b5149d,CUST-bef81749,2025-09-01,23,1195,239,1
USG-b37373da,CUST-bef81749,2025-10-01,19,388,194,2
