intervention_id,recommendation_title,category,target_segment,affected_customers,estimated_revenue_impact,expected_action,suggested_owner,confidence_level,effort_level,priority_score,priority_band
IV-E22A545A,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-9241D19E,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-A3C50A8E,Automated Payment Recovery — Failed Transaction,billing_recovery,Enterprise,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-74F68209,Automated Payment Recovery — Failed Transaction,billing_recovery,Enterprise,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-3592F40A,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-DC6A2748,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-A2E2ED8A,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-DFD228FA,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-95529E56,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-B31AFEA3,Automated Payment Recovery — Failed Transaction,billing_recovery,Enterprise,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-06D25CAE,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-2B5A10C2,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-69B40771,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-DF5899B9,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-310B04B6,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-D796689D,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-DFCF0AA2,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-36DF6098,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-52655058,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-F00C8575,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-FE2AD07B,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-2B57FD34,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-69B7A95D,Automated Payment Recovery — Failed Transaction,billing_recovery,Enterprise,1,1999.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1699.15,High
IV-574F30CC,Past-Due Account Escalation,billing_recovery,SMB,1,1999.0,Escalate to finance for account hold review. Send formal payment demand notice and suspend non-critical features until resolved.,Finance Operations,High,Low,1699.15,High
IV-5DF6E758,Past-Due Account Escalation,billing_recovery,Startup,1,1999.0,Escalate to finance for account hold review. Send formal payment demand notice and suspend non-critical features until resolved.,Finance Operations,High,Low,1699.15,High
IV-0A7EE564,Past-Due Account Escalation,billing_recovery,SMB,1,1999.0,Escalate to finance for account hold review. Send formal payment demand notice and suspend non-critical features until resolved.,Finance Operations,High,Low,1699.15,High
IV-94F02495,Past-Due Account Escalation,billing_recovery,Startup,1,1999.0,Escalate to finance for account hold review. Send formal payment demand notice and suspend non-critical features until resolved.,Finance Operations,High,Low,1699.15,High
IV-41F524E9,Past-Due Account Escalation,billing_recovery,Enterprise,1,1999.0,Escalate to finance for account hold review. Send formal payment demand notice and suspend non-critical features until resolved.,Finance Operations,High,Low,1699.15,High
IV-F1CD813D,Past-Due Account Escalation,billing_recovery,Startup,1,1999.0,Escalate to finance for account hold review. Send formal payment demand notice and suspend non-critical features until resolved.,Finance Operations,High,Low,1699.15,High
IV-07B6101A,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1996.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1696.6,High
IV-B95CB323,Automated Payment Recovery — Failed Transaction,billing_recovery,Enterprise,1,1996.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1696.6,High
IV-15ED506B,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1996.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1696.6,High
IV-77B6B128,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-4226C259,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-4BF40EB6,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-309D6952,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Startup,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-A2B77B68,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-7F6EC9A7,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-08DFCAC1,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-1E0F6807,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-B5F41307,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Startup,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-BF8141DD,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Mid-Market,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-7B3F8AD5,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Startup,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-5B80133B,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Mid-Market,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-884633D1,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-295B16A2,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-797EB4FC,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-D5F5BE05,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Enterprise,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-A299D30E,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Startup,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-9D0365F8,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-A161BDA5,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Startup,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-0FFD0260,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,Startup,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-6BF9E193,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-10C97C96,Proactive Billing Intervention — Payment Risk Driver Detected,billing_recovery,SMB,1,1999.0,Contact customer directly to confirm payment details and offer alternative payment methods before the subscription lapses.,Customer Success Manager,Medium,Low,1299.35,High
IV-BEC0E380,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1497.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1272.45,High
IV-23E902BD,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1497.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1272.45,High
IV-C7D2BB57,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,1497.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1272.45,High
IV-493C771F,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1497.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1272.45,High
IV-437DB822,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,1497.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,1272.45,High
IV-9D4AE9F2,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-C894E749,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-C6C4C35F,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-88965877,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-11D3B40D,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-728CCBFC,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-30D0D896,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-B784D2CA,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-E08ACF27,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-FDF0ECBC,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-134681C2,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-A9BE0244,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-779901C3,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-4FC3D417,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,998.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,848.3,Medium
IV-90400420,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,796.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,676.6,Medium
IV-0F5EEED8,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,597.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,507.45,Medium
IV-B5B0313E,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,597.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,507.45,Medium
IV-DD959F76,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,597.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,507.45,Medium
IV-ED091B2A,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,597.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,507.45,Medium
IV-0FD9FED8,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-0C918764,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-83465FB4,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-98871FB5,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-1975B61A,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-17BECD65,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-EB426A63,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-8776834D,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-1851E1FF,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-D64C1CB4,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-33D31AC7,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-1AF01A7C,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-2007AE41,SMB Re-engagement Offer — High Churn Risk,retention,SMB,1,1999.0,Send personalised in-app re-engagement campaign with 15% discount for 3-month commitment. Follow up with feature tutorial email sequence.,Marketing Automation,Medium,High,433.12,Medium
IV-3E67CBBB,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-22A81A24,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-A0299E78,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-0C063E57,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-FAE2FBB5,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-9F580909,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-AC9E264E,Automated Payment Recovery — Failed Transaction,billing_recovery,Enterprise,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-F617D608,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-F9C3F5CD,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-90D54158,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-350A6E81,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-B5FCA617,Automated Payment Recovery — Failed Transaction,billing_recovery,Mid-Market,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-07991151,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-EDCFEB22,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-2BA985E0,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-F1A7C108,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-3EFCDE4F,Automated Payment Recovery — Failed Transaction,billing_recovery,Startup,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-E8BA8EFC,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
IV-D577B0AB,Automated Payment Recovery — Failed Transaction,billing_recovery,SMB,1,499.0,"Trigger dunning sequence: retry payment after 3 days, send payment update email after 5 days, escalate to CSM after 10 days.",Billing Automation,High,Low,424.15,Medium
