customer_id,segment,is_active,signup_date,country,acquisition_channel,plan,subscription_status,current_mrr,total_revenue,latest_usage_frequency,usage_trend,latest_nps,support_ticket_count,failed_payment_count,churn_risk_score,churn_risk_band,revenue_at_risk,main_driver,recommended_action,health_status,revenue_segment,usage_segment,risk_segment,nps_segment,run_id,generated_at
CUST-9A60DED1,Startup,True,2024-09-11 06:16:10,USA,Paid Social,Basic,Active,49.0,882.0,16.15,Stable,5.0,2.0,1.0,0.6000000000000001,High,49.0,Low NPS,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-B4947880,Mid-Market,False,2026-03-08 12:55:21,UK,Direct,Pro,Canceled,0.0,199.0,1.0,Increasing,,0.0,1.0,0.0,Low,0.0,None,Automated Payment Recovery — Failed Transaction,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-D3B021DA,SMB,True,2025-11-22 13:03:42,Germany,Organic Search,Pro,Active,199.0,995.0,79.83333333333333,Declining,,1.0,1.0,0.4,High,199.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-7BED8E05,Startup,False,2025-08-14 00:31:00,USA,Paid Social,Basic,Canceled,0.0,392.0,253.11111111111111,Increasing,1.0,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4920AB3B,Startup,False,2025-02-18 18:17:58,Germany,Direct,Basic,Canceled,0.0,343.0,305.2,Stable,,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-E1D8DEEE,Startup,False,2025-12-22 14:47:00,UK,Referral,Premium,Canceled,0.0,998.0,17.2,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1BA54B0F,SMB,True,2025-06-03 03:55:05,Australia,Direct,Pro,Past Due,199.0,1990.0,179.0,Stable,,2.0,1.0,0.4,High,0.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9EF94C07,Startup,True,2025-03-20 16:37:00,Germany,Direct,Basic,Past Due,49.0,637.0,454.42857142857144,Stable,4.0,3.0,1.0,0.8,Critical,0.0,Low NPS,Automated Payment Recovery — Failed Transaction,Critical,Mid Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1E4D99B5,Startup,True,2025-03-25 20:03:04,UK,Direct,Basic,Active,49.0,686.0,41.07142857142857,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-C280B940,SMB,True,2024-10-13 21:13:20,Canada,Paid Social,Pro,Active,199.0,3582.0,445.8421052631579,Declining,,2.0,1.0,0.4,High,199.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-F2D6AB8C,Startup,True,2024-07-07 06:13:16,USA,Paid Social,Basic,Active,49.0,1029.0,482.27272727272725,Stable,,1.0,1.0,0.4,High,49.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-10145AE4,Enterprise,False,2025-06-09 20:19:31,USA,Direct,Premium,Canceled,0.0,3493.0,351.0,Increasing,,3.0,1.0,0.0,Low,0.0,None,Automated Payment Recovery — Failed Transaction,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-E1247949,SMB,True,2026-02-08 03:49:48,Australia,Organic Search,Premium,Active,499.0,1497.0,166.0,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-31340849,SMB,False,2024-06-16 14:04:41,Australia,Referral,Basic,Canceled,0.0,637.0,140.6086956521739,Declining,,4.0,1.0,0.0,Low,0.0,None,Automated Payment Recovery — Failed Transaction,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-B8473638,Mid-Market,True,2026-01-17 13:15:48,USA,Referral,Pro,Past Due,199.0,796.0,300.25,Declining,,2.0,0.0,0.0,Low,0.0,None,Past-Due Account Escalation,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-E5153171,Mid-Market,True,2025-12-26 04:05:53,UK,Paid Social,Basic,Active,49.0,196.0,348.6,Declining,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A17F56A5,Startup,True,2024-11-19 00:49:47,USA,Paid Social,Basic,Active,49.0,882.0,445.72222222222223,Stable,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-40696408,Startup,True,2025-08-05 02:45:36,UK,Paid Social,Premium,Active,499.0,4491.0,82.0,Stable,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-BC447D50,SMB,True,2024-08-29 14:48:48,UK,Referral,Pro,Active,199.0,3980.0,434.85714285714283,Declining,8.0,0.0,1.0,0.4,High,199.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-5BEA698E,Startup,True,2025-11-05 09:41:49,UK,Referral,Premium,Active,499.0,2495.0,381.5,Increasing,,1.0,1.0,0.4,High,499.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-93D5D028,Startup,True,2025-09-24 09:09:44,Canada,Organic Search,Basic,Past Due,49.0,294.0,251.5,Increasing,7.0,1.0,2.0,0.4,High,0.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-12F57229,Mid-Market,True,2025-01-14 19:17:41,USA,Direct,Basic,Active,49.0,686.0,364.125,Stable,,1.0,2.0,0.4,High,49.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-276DE774,SMB,True,2024-06-19 13:57:30,Australia,Organic Search,Pro,Active,199.0,4577.0,176.30434782608697,Increasing,,4.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-142B7A84,SMB,False,2026-04-09 14:37:45,Germany,Direct,Pro,Canceled,0.0,199.0,5.0,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-90DD2F0C,Mid-Market,True,2025-03-22 08:26:41,Germany,Paid Social,Enterprise,Active,1999.0,25987.0,447.7857142857143,Declining,8.0,3.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1575F549,Startup,True,2026-02-11 23:28:55,USA,Paid Social,Basic,Active,49.0,147.0,245.0,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-44D30D03,SMB,True,2025-09-07 21:08:27,Germany,Direct,Premium,Active,499.0,3992.0,14.75,Declining,,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-CCE45833,SMB,True,2025-11-20 05:16:43,Australia,Paid Social,Premium,Active,499.0,2994.0,336.5,Declining,10.0,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,Promoter,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-D4CE4E4E,Mid-Market,True,2025-11-06 17:26:17,USA,Paid Social,Pro,Active,199.0,1194.0,71.16666666666667,Stable,,4.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-376CE362,Mid-Market,True,2024-09-20 02:04:12,Germany,Referral,Basic,Active,49.0,931.0,418.2,Stable,,4.0,1.0,0.6000000000000001,High,49.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9ED3FFC8,Startup,False,2025-01-21 15:38:01,UK,Outbound Sales,Pro,Canceled,0.0,1393.0,338.5625,Stable,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-EE4D1390,Enterprise,True,2025-04-06 16:57:07,Germany,Organic Search,Basic,Active,49.0,637.0,345.2307692307692,Increasing,,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-5A18A787,SMB,True,2025-04-29 09:18:28,Canada,Paid Social,Premium,Active,499.0,5988.0,308.84615384615387,Increasing,1.0,1.0,1.0,0.6000000000000001,High,499.0,Low NPS,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-8B8ECE62,SMB,True,2024-06-01 23:26:31,Australia,Outbound Sales,Pro,Active,199.0,3781.0,343.5217391304348,Increasing,8.0,4.0,3.0,0.6000000000000001,High,199.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A8578740,SMB,True,2025-06-03 23:53:51,USA,Direct,Enterprise,Active,1999.0,21989.0,111.72727272727273,Declining,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-D553148E,SMB,True,2024-08-21 15:09:06,UK,Paid Social,Pro,Active,199.0,3980.0,133.85714285714286,Increasing,10.0,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,Promoter,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4112CA3A,SMB,True,2025-10-25 15:56:45,UK,Direct,Pro,Active,199.0,1393.0,275.57142857142856,Increasing,7.0,4.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-EB931375,Mid-Market,True,2025-09-11 15:01:03,UK,Organic Search,Premium,Active,499.0,3992.0,322.875,Increasing,2.0,0.0,0.0,0.2,Medium,0.0,Low NPS,No action required,Watch,Enterprise Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-846A8ED0,SMB,True,2026-03-05 10:41:15,UK,Organic Search,Pro,Active,199.0,199.0,235.5,Increasing,,0.0,1.0,0.4,High,199.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A2C06924,Startup,False,2025-10-26 16:13:58,UK,Referral,Enterprise,Canceled,0.0,9995.0,108.42857142857143,Declining,,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-CCC970DC,Startup,True,2025-01-23 15:34:45,USA,Direct,Basic,Active,49.0,735.0,74.4375,Stable,,5.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-DEED430B,Startup,True,2026-04-07 06:46:13,Germany,Referral,Enterprise,Active,1999.0,1999.0,166.0,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-DDF48164,Startup,True,2025-02-24 22:05:53,Canada,Paid Social,Premium,Active,499.0,7485.0,88.4,Increasing,,4.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-8B59858E,Startup,True,2024-12-24 20:27:36,Australia,Outbound Sales,Premium,Active,499.0,7984.0,66.82352941176471,Stable,8.0,2.0,1.0,0.4,High,499.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4532DEB9,Mid-Market,True,2026-02-21 00:59:11,Germany,Direct,Pro,Active,199.0,597.0,527.0,Declining,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-FB33E508,SMB,True,2025-01-26 10:27:14,USA,Referral,Premium,Active,499.0,6986.0,113.9375,Stable,,2.0,1.0,0.4,High,499.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-118AB172,SMB,False,2024-06-25 17:31:57,USA,Organic Search,Basic,Canceled,0.0,147.0,174.69565217391303,Stable,1.0,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-EFC95E91,SMB,True,2025-04-08 18:37:04,Canada,Organic Search,Premium,Active,499.0,6487.0,343.7692307692308,Stable,,2.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-291486B2,Startup,True,2025-12-02 20:18:47,Canada,Referral,Basic,Past Due,49.0,245.0,64.0,Stable,7.0,0.0,0.0,0.0,Low,0.0,None,Past-Due Account Escalation,Healthy,Mid Value,No Usage,Low Risk,Passive,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-F01B5C37,SMB,False,2024-09-16 07:32:17,UK,Outbound Sales,Basic,Canceled,0.0,588.0,391.0,Increasing,,5.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-2700A916,Startup,False,2025-04-03 22:43:07,Germany,Outbound Sales,Pro,Canceled,0.0,1592.0,340.53846153846155,Declining,3.0,4.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,Detractor,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9E6D05EF,Startup,True,2024-08-03 20:13:29,Canada,Paid Social,Basic,Active,49.0,1029.0,285.0,Stable,,4.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A5916A71,SMB,True,2025-09-14 03:05:53,Germany,Organic Search,Basic,Active,49.0,392.0,166.0,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-9FADF576,Startup,True,2025-04-13 06:21:01,USA,Outbound Sales,Premium,Active,499.0,5489.0,72.6923076923077,Declining,,2.0,2.0,0.4,High,499.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-CCCAC505,SMB,False,2024-12-28 01:02:23,Australia,Referral,Basic,Canceled,0.0,735.0,317.29411764705884,Increasing,,3.0,1.0,0.0,Low,0.0,None,Automated Payment Recovery — Failed Transaction,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-B8B565D7,Startup,True,2024-10-13 15:27:06,UK,Paid Social,Premium,Active,499.0,9481.0,143.57894736842104,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-759EE8A0,SMB,False,2025-06-17 02:02:17,Canada,Referral,Basic,Canceled,0.0,245.0,55.72727272727273,Increasing,,1.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A24E4A4D,SMB,True,2025-09-01 23:08:28,Canada,Outbound Sales,Premium,Active,499.0,2994.0,291.625,Stable,9.0,4.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,Promoter,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-2EAA1170,SMB,False,2026-03-18 10:09:46,Australia,Paid Social,Premium,Canceled,0.0,998.0,2.5,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-4BF6001B,Mid-Market,True,2025-03-16 02:54:05,UK,Referral,Pro,Active,199.0,2786.0,299.7857142857143,Stable,,5.0,0.0,0.2,Medium,0.0,High Support Burden,No action required,Watch,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-1B5821AF,SMB,True,2024-08-26 07:15:23,UK,Referral,Premium,Active,499.0,7984.0,174.61904761904762,Stable,,0.0,3.0,0.4,High,499.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-C903E7D0,Startup,True,2025-12-29 20:31:19,UK,Direct,Enterprise,Active,1999.0,7996.0,389.6,Stable,,0.0,1.0,0.4,High,1999.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-0D41E8EE,Startup,True,2025-08-03 17:28:14,UK,Referral,Premium,Active,499.0,3992.0,457.0,Increasing,,4.0,1.0,0.6000000000000001,High,499.0,Failed Payments,Automated Payment Recovery — Failed Transaction,At Risk,Enterprise Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
CUST-A8D1FA2C,Mid-Market,True,2025-09-24 04:38:40,USA,Paid Social,Basic,Active,49.0,392.0,160.125,Increasing,,0.0,0.0,0.0,Low,0.0,None,No action required,Healthy,Mid Value,No Usage,Low Risk,No NPS,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
